"Machine Learner";"Subset Type";"Measure Name";"Measure Value";"Measure Ideal Value";"Dataset";"Percentage";"Kernel";"C";"Gamma"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.21812865497076023";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.6615497076023392";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.16503655404070364";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.20331950207468866";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.20415140415140418";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.6105734767025087";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.18178571428571424";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.21388888888888893";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.21812865497076023";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.6615497076023392";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.16503655404070364";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.20331950207468866";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.20415140415140418";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.6105734767025087";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.27857142857142847";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.29999999999999993";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.30730994152046776";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.803661616161616";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.22228067575577967";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.2579529737206083";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.2613675213675212";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.6747361887026686";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.5832936507936508";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.623611111111111";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.6394736842105262";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.8862445452806897";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.43141424619640356";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.4798755186721993";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.4895726495726493";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.7939162754303599";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.5118650793650795";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.548611111111111";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.5646198830409356";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.8426406926406925";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.2904119739181981";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.32641770401106507";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.33316239316239316";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.7454153182308523";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.2584523809523809";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.28611111111111115";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.2941520467836257";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.7683080808080809";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.22395771586642968";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.25864453665283527";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.2627594627594627";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.7011881824020548";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.2584523809523809";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.28611111111111115";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.2941520467836257";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.7683080808080809";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.22395771586642968";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.25864453665283527";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.2627594627594627";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.7011881824020548";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.18178571428571424";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.21388888888888893";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.21812865497076023";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.6615497076023392";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.16503655404070364";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.20331950207468866";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.20415140415140418";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.6105734767025087";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.36369047619047623";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.39166666666666666";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.4023391812865497";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.825892857142857";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.2554979253112035";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.2994467496542184";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.30194139194139175";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.6686982608035237";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.8219444444444445";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.8602777777777778";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.876608187134503";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.9439211878464216";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.5446082789962456";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.6018672199170125";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.6083150183150179";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8457890001564702";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.9658119658119658";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.9658119658119658";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.9912280701754386";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.6287798874824193";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.6775193798449616";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.6823443223443224";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8906377573044247";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.9827586206896551";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.9827586206896551";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-1.0"
