"Machine Learner";"Subset Type";"Measure Name";"Measure Value";"Measure Ideal Value";"Dataset";"Percentage";"Kernel";"C";"Gamma"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.36434108527131787";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.32477829942618675";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.6701572604350382";"1.0";"Full";"20.0";"RBFKernel";"-1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.30004492362982926";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.3647798742138365";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.3210691823899371";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.7776052449965494";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.22872646733111857";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.30232558139534876";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.2623891497130933";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.686554078995939";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.32787511230907457";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.38993710691823896";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.35754716981132073";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.6996882086167799";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.2533851807107622";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.3395348837209301";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.2997391757955138";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.5986040249433104";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.8644654088050315";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.9069182389937106";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.8776729559748426";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.9404761904761904";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.5821871539313399";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.6409302325581397";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.6213354199269697";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8329219434809501";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-5.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.9830188679245283";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.9937106918238994";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.9861635220125786";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.9889937106918238";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.6538538205980068";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.7309302325581396";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.6851330203442879";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.869155844155844";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.5095404208194908";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.5849612403100777";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.5455920709441838";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8013960312618035";"1.0";"Full";"20.0";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.3483851807107623";"1.0";"Full";"20.0";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.41829457364341094";"1.0";"Full";"20.0";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.38643714136671886";"1.0";"Full";"20.0";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.719061070755986";"1.0";"Full";"20.0";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"1.0";"1.0";"Full";"20.0";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.31553156146179423";"1.0";"Full";"20.0";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.37333333333333335";"1.0";"Full";"20.0";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.35292123109024526";"1.0";"Full";"20.0";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.6619458128078817";"1.0";"Full";"20.0";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.32787511230907457";"1.0";"Full";"20.0";"RBFKernel";"3.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.38993710691823896";"1.0";"Full";"20.0";"RBFKernel";"3.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.35754716981132073";"1.0";"Full";"20.0";"RBFKernel";"3.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.6996882086167799";"1.0";"Full";"20.0";"RBFKernel";"3.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.26640843652471574";"1.0";"Full";"20.0";"RBFKernel";"3.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.3519379844961239";"1.0";"Full";"20.0";"RBFKernel";"3.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.31225873761085027";"1.0";"Full";"20.0";"RBFKernel";"3.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.6114940128098022";"1.0";"Full";"20.0";"RBFKernel";"3.0";"-9.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.8720125786163523";"1.0";"Full";"20.0";"RBFKernel";"3.0";"-7.0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"0.9069182389937106";"1.0";"Full";"20.0";"RBFKernel";"3.0";"-7.0"
