"Machine Learner";"Subset Type";"Measure Name";"Measure Value";"Measure Ideal Value";"Dataset";"Percentage";"Increment";"Kernel";"C";"Gamma"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.5977685539473481";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.651567320542948";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.6491232500345089";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.9105077394862171";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.9915174511576293";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.9932134674516802";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.9978437668717078";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.99921571809122";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.5011108902440943";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.5530681657719124";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.5442226151391977";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.881492766745834";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"-1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.9915174511576293";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"1.0"
